##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	19_3F_fox_S14_L008_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	16348255
Total Bases	1.6 Gbp
Sequences flagged as poor quality	0
Sequence length	101
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.513544044914884	32.0	32.0	32.0	27.0	32.0
2	31.192652365650034	32.0	32.0	32.0	32.0	32.0
3	34.50709662896743	37.0	32.0	37.0	32.0	37.0
4	35.51455430564302	37.0	37.0	37.0	32.0	37.0
5	35.70864437825321	37.0	37.0	37.0	32.0	37.0
6	39.01087999911917	41.0	41.0	41.0	37.0	41.0
7	38.941846759791794	41.0	41.0	41.0	37.0	41.0
8	39.13337319487615	41.0	41.0	41.0	37.0	41.0
9	39.297744499336474	41.0	41.0	41.0	37.0	41.0
10-11	39.31615407882982	41.0	41.0	41.0	37.0	41.0
12-13	39.30185322531365	41.0	41.0	41.0	37.0	41.0
14-15	39.25960486302667	41.0	41.0	41.0	37.0	41.0
16-17	39.02453463687715	41.0	41.0	41.0	37.0	41.0
18-19	39.12383985324428	41.0	41.0	41.0	37.0	41.0
20-21	39.057959182799635	41.0	41.0	41.0	37.0	41.0
22-23	39.07946829799266	41.0	41.0	41.0	37.0	41.0
24-25	39.15728033358912	41.0	41.0	41.0	37.0	41.0
26-27	39.159820115357874	41.0	41.0	41.0	37.0	41.0
28-29	39.16509098371661	41.0	41.0	41.0	37.0	41.0
30-31	39.05446465081442	41.0	41.0	41.0	37.0	41.0
32-33	38.600767360186154	41.0	41.0	41.0	32.0	41.0
34-35	38.328711412930616	41.0	41.0	41.0	32.0	41.0
36-37	38.17628499188446	41.0	41.0	41.0	32.0	41.0
38-39	38.15841748859435	41.0	41.0	41.0	32.0	41.0
40-41	38.57517092802871	41.0	41.0	41.0	32.0	41.0
42-43	38.82187175328498	41.0	41.0	41.0	32.0	41.0
44-45	38.97080633376467	41.0	41.0	41.0	37.0	41.0
46-47	38.971965845896094	41.0	41.0	41.0	37.0	41.0
48-49	38.945071232373124	41.0	41.0	41.0	37.0	41.0
50-51	38.956544138808695	41.0	41.0	41.0	34.5	41.0
52-53	39.024196252138225	41.0	41.0	41.0	37.0	41.0
54-55	38.83094272140971	41.0	41.0	41.0	32.0	41.0
56-57	38.94685139178463	41.0	41.0	41.0	34.5	41.0
58-59	38.87182112096979	41.0	41.0	41.0	32.0	41.0
60-61	38.788725585697065	41.0	41.0	41.0	32.0	41.0
62-63	38.846356782421125	41.0	41.0	41.0	32.0	41.0
64-65	38.794335389312195	41.0	41.0	41.0	32.0	41.0
66-67	38.77006307401004	41.0	41.0	41.0	32.0	41.0
68-69	38.695601732417316	41.0	41.0	41.0	32.0	41.0
70-71	38.73482029121762	41.0	41.0	41.0	32.0	41.0
72-73	38.65519313835024	41.0	41.0	41.0	32.0	41.0
74-75	38.6355391446977	41.0	41.0	41.0	32.0	41.0
76-77	38.066788596091754	41.0	39.0	41.0	32.0	41.0
78-79	38.1995371983126	41.0	39.0	41.0	32.0	41.0
80-81	38.5692005966386	41.0	41.0	41.0	32.0	41.0
82-83	38.65757018103767	41.0	41.0	41.0	32.0	41.0
84-85	38.552010933276975	41.0	41.0	41.0	32.0	41.0
86-87	38.489789430125725	41.0	41.0	41.0	32.0	41.0
88-89	38.47331283981073	41.0	41.0	41.0	32.0	41.0
90-91	38.393617850957185	41.0	41.0	41.0	32.0	41.0
92-93	38.291879592042086	41.0	41.0	41.0	32.0	41.0
94-95	38.158654211106935	41.0	39.0	41.0	32.0	41.0
96-97	38.10451115424857	41.0	37.0	41.0	32.0	41.0
98-99	37.936256866558544	41.0	37.0	41.0	29.5	41.0
100-101	36.96012956734526	41.0	37.0	41.0	24.5	41.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-1.6438148261100665
1101	2	-0.4843496837735515
1101	3	-1.1211250436185694
1101	4	-0.9102617089280685
1101	5	-0.7046256860491127
1101	6	-0.9708375388606001
1101	7	-0.3650503745583862
1101	8	-0.19661100671721954
1101	9	-0.036768560150143514
1101	10-11	-0.038537124131174494
1101	12-13	-0.0624431942688517
1101	14-15	-0.046437310278982125
1101	16-17	0.03378899070816033
1101	18-19	0.023279131850458157
1101	20-21	0.05672642565679098
1101	22-23	0.0057016582577631425
1101	24-25	0.008208319601877179
1101	26-27	0.017679854960107377
1101	28-29	0.004256215169498034
1101	30-31	-0.011110040660469167
1101	32-33	0.23154527109617362
1101	34-35	0.10478138064365794
1101	36-37	0.12076523809763273
1101	38-39	-0.014904008463247465
1101	40-41	-0.15272084283375875
1101	42-43	-0.10409211787617068
1101	44-45	-0.05077562795957391
1101	46-47	0.0021899403112186633
1101	48-49	0.04941337923710165
1101	50-51	0.03877113434489843
1101	52-53	-0.044818302999480863
1101	54-55	0.0990040303432167
1101	56-57	-0.09979191258369724
1101	58-59	-0.07772846890480878
1101	60-61	0.07080386474392952
1101	62-63	-0.09309643289780212
1101	64-65	-0.054681992465340556
1101	66-67	-0.032652276269445224
1101	68-69	-0.027880035244855605
1101	70-71	-0.10464711092265588
1101	72-73	-0.06524294587908486
1101	74-75	-0.09272228641069091
1101	76-77	-0.2198145715891826
1101	78-79	-0.030709381915336564
1101	80-81	-0.1294508768192415
1101	82-83	-0.128232125967223
1101	84-85	-0.1173414836444735
1101	86-87	-0.1105327994063714
1101	88-89	-0.21255924806884963
1101	90-91	-0.16300734780366355
1101	92-93	-0.17577916961971596
1101	94-95	-0.09187818502364564
1101	96-97	-0.10109179265675294
1101	98-99	-0.08801230162239193
1101	100-101	-0.18312605922588432
1102	1	-0.5007573924799473
1102	2	-0.6041926500594315
1102	3	-1.2250366541559643
1102	4	-1.047398490649151
1102	5	-0.9920133712506356
1102	6	-1.3331235235044687
1102	7	-1.1598182051680794
1102	8	-0.6721761068146321
1102	9	-0.4533721657601504
1102	10-11	-0.23584869518481355
1102	12-13	-0.18780978632794643
1102	14-15	-0.22116893326850118
1102	16-17	-0.197281003515279
1102	18-19	-0.15454244124174465
1102	20-21	-0.13569694135671284
1102	22-23	-0.168790232699358
1102	24-25	-0.15862189367275903
1102	26-27	-0.08956369240776496
1102	28-29	-0.08770453835804659
1102	30-31	-0.1356194834656037
1102	32-33	0.0513931318960843
1102	34-35	-0.058433317199707346
1102	36-37	-0.10058728627168279
1102	38-39	-0.1729207180409773
1102	40-41	-0.29113754428366434
1102	42-43	-0.24914078092802328
1102	44-45	-0.21825038377779293
1102	46-47	-0.14684629165218865
1102	48-49	-0.12564040940272747
1102	50-51	-0.08310884504353311
1102	52-53	-0.2530619478840066
1102	54-55	-0.006079645297127456
1102	56-57	-0.1739017023676226
1102	58-59	-0.1820343278047858
1102	60-61	-0.10872211005112575
1102	62-63	-0.17351228667421026
1102	64-65	-0.12436119371514565
1102	66-67	-0.050943316604289635
1102	68-69	-0.06683372638814689
1102	70-71	-0.1447673489851553
1102	72-73	-0.1744302547922132
1102	74-75	-0.14825844018545808
1102	76-77	-0.49940610068278346
1102	78-79	-0.14578266727553313
1102	80-81	-0.10633008639229757
1102	82-83	-0.23912532534318842
1102	84-85	-0.09379212146460247
1102	86-87	-0.12942838982286275
1102	88-89	-0.20459591685973066
1102	90-91	-0.20240493371898793
1102	92-93	-0.2539989802615139
1102	94-95	-0.19192721207444663
1102	96-97	-0.2817985351903971
1102	98-99	-0.23365848338268336
1102	100-101	-0.2294681874232367
1103	1	-0.6006336726715524
1103	2	-0.5466565924570652
1103	3	-1.1791207253550127
1103	4	-1.06849783844973
1103	5	-1.0369002035828956
1103	6	-1.0857372115991595
1103	7	-1.0923588256844567
1103	8	-0.9708585216780747
1103	9	-0.5417138189085193
1103	10-11	-0.32498565900069565
1103	12-13	-0.25016391687736217
