##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	7_2E_fox_S6_L008_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	5278425
Total Bases	533.1 Mbp
Sequences flagged as poor quality	0
Sequence length	101
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.557250505595892	32.0	32.0	32.0	32.0	32.0
2	31.211897488360638	32.0	32.0	32.0	32.0	32.0
3	34.80508390286875	37.0	32.0	37.0	32.0	37.0
4	35.84249563079896	37.0	37.0	37.0	32.0	37.0
5	35.9980795407721	37.0	37.0	37.0	32.0	37.0
6	39.499736190246146	41.0	41.0	41.0	37.0	41.0
7	39.93132459019499	41.0	41.0	41.0	37.0	41.0
8	39.61722729791557	41.0	41.0	41.0	37.0	41.0
9	39.9583923234677	41.0	41.0	41.0	37.0	41.0
10-11	40.062597744592374	41.0	41.0	41.0	37.0	41.0
12-13	40.075356474706	41.0	41.0	41.0	37.0	41.0
14-15	40.06831573812264	41.0	41.0	41.0	37.0	41.0
16-17	40.01480659477022	41.0	41.0	41.0	37.0	41.0
18-19	40.00589967651335	41.0	41.0	41.0	37.0	41.0
20-21	39.98550874550647	41.0	41.0	41.0	37.0	41.0
22-23	39.99779489146857	41.0	41.0	41.0	37.0	41.0
24-25	39.99008293193519	41.0	41.0	41.0	37.0	41.0
26-27	39.920267693488114	41.0	41.0	41.0	37.0	41.0
28-29	39.88341759142168	41.0	41.0	41.0	37.0	41.0
30-31	39.853852143395045	41.0	41.0	41.0	37.0	41.0
32-33	39.8507757522367	41.0	41.0	41.0	37.0	41.0
34-35	39.89250979222022	41.0	41.0	41.0	37.0	41.0
36-37	39.88475653248838	41.0	41.0	41.0	37.0	41.0
38-39	39.85398674794091	41.0	41.0	41.0	37.0	41.0
40-41	39.84062935440022	41.0	41.0	41.0	37.0	41.0
42-43	39.81464613023772	41.0	41.0	41.0	37.0	41.0
44-45	39.76410577018713	41.0	41.0	41.0	37.0	41.0
46-47	39.761126377660005	41.0	41.0	41.0	37.0	41.0
48-49	39.7579275067847	41.0	41.0	41.0	37.0	41.0
50-51	39.75040215594614	41.0	41.0	41.0	37.0	41.0
52-53	39.70404164120926	41.0	41.0	41.0	37.0	41.0
54-55	39.70233952362683	41.0	41.0	41.0	37.0	41.0
56-57	39.678085319010876	41.0	41.0	41.0	37.0	41.0
58-59	39.66326157897478	41.0	41.0	41.0	37.0	41.0
60-61	39.63608169103473	41.0	41.0	41.0	37.0	41.0
62-63	39.59578595887978	41.0	41.0	41.0	37.0	41.0
64-65	39.582366709766646	41.0	41.0	41.0	37.0	41.0
66-67	39.55714460279344	41.0	41.0	41.0	37.0	41.0
68-69	39.53240246853938	41.0	41.0	41.0	37.0	41.0
70-71	39.43844536959415	41.0	41.0	41.0	37.0	41.0
72-73	39.4415063205407	41.0	41.0	41.0	37.0	41.0
74-75	39.40463841013181	41.0	41.0	41.0	37.0	41.0
76-77	39.0243512979724	41.0	39.0	41.0	34.5	41.0
78-79	39.119240682589975	41.0	41.0	41.0	37.0	41.0
80-81	39.275102042749495	41.0	41.0	41.0	37.0	41.0
82-83	39.31927004740997	41.0	41.0	41.0	37.0	41.0
84-85	39.281650776510034	41.0	41.0	41.0	37.0	41.0
86-87	39.24249619915031	41.0	41.0	41.0	37.0	41.0
88-89	39.099824568881814	41.0	41.0	41.0	37.0	41.0
90-91	39.10935563165148	41.0	41.0	41.0	37.0	41.0
92-93	39.040055319531874	41.0	41.0	41.0	37.0	41.0
94-95	38.954721815693134	41.0	41.0	41.0	32.0	41.0
96-97	38.93644638315406	41.0	41.0	41.0	32.0	41.0
98-99	38.727986094336856	41.0	41.0	41.0	32.0	41.0
100-101	38.24958799263038	41.0	39.0	41.0	29.5	41.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.0645275871328117
1101	2	-0.18081581512761957
1101	3	-0.4702153064679635
1101	4	-0.26478062366076927
1101	5	-0.033408435948736326
1101	6	-0.11945069359032345
1101	7	0.016080707445162545
1101	8	-0.05228117625001971
1101	9	0.0053466406206723605
1101	10-11	0.03730980899870673
1101	12-13	0.07004092382314298
1101	14-15	0.053083497426449355
1101	16-17	0.05754548690413941
1101	18-19	0.03626682104897583
1101	20-21	0.038839706552010966
1101	22-23	0.051042041108509295
1101	24-25	0.007798136423815549
1101	26-27	0.03830175523987123
1101	28-29	0.04475890403343641
1101	30-31	0.0585279374013723
1101	32-33	0.07383474177618865
1101	34-35	-0.03458775620460841
1101	36-37	0.004835500398833403
1101	38-39	0.012539292569215377
1101	40-41	-0.014754616908732032
1101	42-43	-0.05143590427372402
1101	44-45	0.05023113590546302
1101	46-47	0.02565515240827665
1101	48-49	-0.016727264523588303
1101	50-51	-0.024040200913447052
1101	52-53	0.07414022344497084
1101	54-55	0.026747562786667345
1101	56-57	0.0038863953154546493
1101	58-59	-0.007155602117897786
1101	60-61	0.04029847798713604
1101	62-63	0.08834328323569451
1101	64-65	0.05810650557435082
1101	66-67	0.03792654260604422
1101	68-69	0.04621263657750774
1101	70-71	0.10703325381893336
1101	72-73	0.09224056660674762
1101	74-75	0.09323201364909295
1101	76-77	0.11665361126397755
1101	78-79	0.20210806280714166
1101	80-81	0.20721183030805435
1101	82-83	0.1139247926638518
1101	84-85	0.1515413838384987
1101	86-87	0.18816422158038648
1101	88-89	0.2570364332905086
1101	90-91	0.2918291674014597
1101	92-93	0.3108622030036017
1101	94-95	0.3004105482427093
1101	96-97	0.28829829839659027
1101	98-99	0.4214121597142011
1101	100-101	0.31606691068104453
1102	1	-0.06978685071568336
1102	2	-0.006700022685496521
1102	3	-0.37871002241165996
1102	4	-0.1391934552485381
1102	5	0.10320962163178393
1102	6	0.005261877555582828
1102	7	0.1073015137902047
1102	8	-0.10541730513426018
1102	9	-0.01979812422634808
1102	10-11	0.05028320423574684
1102	12-13	0.05010718422152394
1102	14-15	0.052840374648255306
1102	16-17	0.05209865833771943
1102	18-19	0.05211985426006294
1102	20-21	0.07953439342968238
1102	22-23	0.0490264806277807
1102	24-25	0.060854381998268536
1102	26-27	0.06175983683318975
1102	28-29	0.06033850879894942
1102	30-31	0.11726202606946146
1102	32-33	0.07487440837522996
1102	34-35	0.005658419254423563
1102	36-37	0.05788874811050704
1102	38-39	0.057005181811938144
1102	40-41	-0.019412805110732734
1102	42-43	-0.02241074477652205
1102	44-45	0.09558857396588394
1102	46-47	0.09687048847134605
1102	48-49	0.06236372181095362
1102	50-51	0.09880048135215702
1102	52-53	0.07617168427842103
1102	54-55	0.09801901728366147
1102	56-57	0.061008101006876814
1102	58-59	0.04030733230668204
1102	60-61	0.10917547329452759
1102	62-63	0.0850806040514911
1102	64-65	0.07982779677892182
1102	66-67	0.09907705662193678
1102	68-69	0.06912584687709966
1102	70-71	0.08640670423533692
1102	72-73	0.060886028795586355
1102	74-75	0.14465165974493033
1102	76-77	0.1706674676504889
1102	78-79	0.174639518252242
1102	80-81	0.15241766527964984
1102	82-83	0.09782039839191725
1102	84-85	0.1468328626884201
1102	86-87	0.14318903827782492
1102	88-89	0.34845604855118495
1102	90-91	0.2719231482972404
1102	92-93	0.2832856030154218
1102	94-95	0.43292354277092926
1102	96-97	0.27270730175251146
1102	98-99	0.49635171345655493
1102	100-101	0.3801756222491406
1103	1	-0.09519614565546775
1103	2	-0.010317380673470211
1103	3	-0.44320073982536456
1103	4	-0.03577123200185639
1103	5	0.09240797008163781
1103	6	0.061211038076415036
1103	7	0.08389110739635441
1103	8	-0.058381926967953746
1103	9	0.05090958676534285
1103	10-11	0.05141374678452593
1103	12-13	0.060644253159402695
1103	14-15	0.05893540901293193
1103	16-17	0.1058933411501286
1103	18-19	0.10740699550009225
1103	20-21	0.10482483553700916
1103	22-23	0.10475846460929716
