##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	19_3F_fox_paired_R2.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	15899268
Total Bases	1.5 Gbp
Sequences flagged as poor quality	0
Sequence length	35-101
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.012225279805335	32.0	32.0	32.0	32.0	32.0
2	31.392950040215688	32.0	32.0	32.0	32.0	32.0
3	34.842237139470825	37.0	32.0	37.0	32.0	37.0
4	35.83022350462927	37.0	37.0	37.0	32.0	37.0
5	36.05886164067427	37.0	37.0	37.0	37.0	37.0
6	39.40337335026996	41.0	41.0	41.0	37.0	41.0
7	39.36032891577147	41.0	41.0	41.0	37.0	41.0
8	39.55050559560352	41.0	41.0	41.0	37.0	41.0
9	39.70680014954148	41.0	41.0	41.0	37.0	41.0
10-11	39.72979344080495	41.0	41.0	41.0	37.0	41.0
12-13	39.71964209295673	41.0	41.0	41.0	37.0	41.0
14-15	39.68194026291022	41.0	41.0	41.0	37.0	41.0
16-17	39.46059548150267	41.0	41.0	41.0	37.0	41.0
18-19	39.55279129831638	41.0	41.0	41.0	37.0	41.0
20-21	39.48666199601139	41.0	41.0	41.0	37.0	41.0
22-23	39.50946685092672	41.0	41.0	41.0	37.0	41.0
24-25	39.58306278628677	41.0	41.0	41.0	37.0	41.0
26-27	39.58873065728561	41.0	41.0	41.0	37.0	41.0
28-29	39.6006550427353	41.0	41.0	41.0	37.0	41.0
30-31	39.500866738015866	41.0	41.0	41.0	37.0	41.0
32-33	39.06208370724992	41.0	41.0	41.0	37.0	41.0
34-35	38.79682026870671	41.0	41.0	41.0	32.0	41.0
36-37	38.67519494455542	41.0	41.0	41.0	32.0	41.0
38-39	38.67839390452862	41.0	41.0	41.0	32.0	41.0
40-41	39.09740651982741	41.0	41.0	41.0	34.5	41.0
42-43	39.33550977099553	41.0	41.0	41.0	37.0	41.0
44-45	39.47821986511507	41.0	41.0	41.0	37.0	41.0
46-47	39.47985297226321	41.0	41.0	41.0	37.0	41.0
48-49	39.45734327169978	41.0	41.0	41.0	37.0	41.0
50-51	39.4790361388548	41.0	41.0	41.0	37.0	41.0
52-53	39.554537450327956	41.0	41.0	41.0	37.0	41.0
54-55	39.37020017910032	41.0	41.0	41.0	37.0	41.0
56-57	39.49690536755924	41.0	41.0	41.0	37.0	41.0
58-59	39.43545066612505	41.0	41.0	41.0	37.0	41.0
60-61	39.36577355056697	41.0	41.0	41.0	37.0	41.0
62-63	39.439529897816584	41.0	41.0	41.0	37.0	41.0
64-65	39.39785892803984	41.0	41.0	41.0	37.0	41.0
66-67	39.381714291140696	41.0	41.0	41.0	37.0	41.0
68-69	39.31847690472381	41.0	41.0	41.0	37.0	41.0
70-71	39.373151390830174	41.0	41.0	41.0	37.0	41.0
72-73	39.30674939862945	41.0	41.0	41.0	37.0	41.0
74-75	39.29953775911985	41.0	41.0	41.0	37.0	41.0
76-77	38.74488057647753	41.0	39.0	41.0	34.5	41.0
78-79	38.8911526133378	41.0	41.0	41.0	34.5	41.0
80-81	39.26263744220576	41.0	41.0	41.0	37.0	41.0
82-83	39.35945187886786	41.0	41.0	41.0	37.0	41.0
84-85	39.26438457007098	41.0	41.0	41.0	37.0	41.0
86-87	39.217171534027045	41.0	41.0	41.0	37.0	41.0
88-89	39.220913893090355	41.0	41.0	41.0	37.0	41.0
90-91	39.15817876583736	41.0	41.0	41.0	37.0	41.0
92-93	39.07301219394995	41.0	41.0	41.0	37.0	41.0
94-95	38.9546211139254	41.0	41.0	41.0	34.5	41.0
96-97	38.92239880632896	41.0	41.0	41.0	37.0	41.0
98-99	38.791674697231784	41.0	41.0	41.0	34.5	41.0
100-101	38.46809963435632	41.0	39.0	41.0	32.0	41.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.25430238618657697
1101	2	-0.4156224495663139
1101	3	-0.8399061729046551
1101	4	-0.7730192509410614
1101	5	-0.45924114213831757
1101	6	-0.8298540329714612
1101	7	-0.22053750696224483
1101	8	-0.05184397838879562
1101	9	0.036066082321248416
1101	10-11	0.051638615494326245
1101	12-13	0.03593241734678543
1101	14-15	0.02784940655124757
1101	16-17	0.11772417463409113
1101	18-19	0.09573366318390697
1101	20-21	0.1314043141887069
1101	22-23	0.09410972718566057
1101	24-25	0.07879891682252094
1101	26-27	0.09533032292380028
1101	28-29	0.027804975904111018
1101	30-31	0.051338709406479666
1101	32-33	0.2860141747777618
1101	34-35	0.15347195463917984
1101	36-37	0.1711075590230564
1101	38-39	0.0576987600838379
1101	40-41	-0.0510173194020922
1101	42-43	-0.026452996745405244
1101	44-45	0.039053313358273556
1101	46-47	0.08615337518302368
1101	48-49	0.08980910953746957
1101	50-51	0.09102160508241752
1101	52-53	0.03057375210988056
1101	54-55	0.20439943802335847
1101	56-57	-0.029535730015098238
1101	58-59	0.015359218649457773
1101	60-61	0.12310130725070678
1101	62-63	-0.021057407744550005
1101	64-65	0.012311424151270955
1101	66-67	0.057717192803004025
1101	68-69	0.0662298968630779
1101	70-71	-0.019235246033083797
1101	72-73	0.03629407206317836
1101	74-75	0.009236996449224932
1101	76-77	-0.11919112101197271
1101	78-79	0.08294713794946063
1101	80-81	-0.03439116744122117
1101	82-83	-0.08448104873668427
1101	84-85	-0.04055105824900096
1101	86-87	-0.05479480728467223
1101	88-89	-0.11294048268516832
1101	90-91	-0.12151881790057217
1101	92-93	-0.05333437437619892
1101	94-95	0.04408468419418199
1101	96-97	0.012263855867701068
1101	98-99	0.0909595616276917
1101	100-101	0.10138137738413633
1102	1	-0.4375601647453031
1102	2	-0.48068234407683263
1102	3	-1.046148672014752
1102	4	-0.9165528428647676
1102	5	-0.8741793992167288
1102	6	-1.2226211657141022
1102	7	-0.9754407217742411
1102	8	-0.5686356953875347
1102	9	-0.2848416272848624
1102	10-11	-0.18676210067501842
1102	12-13	-0.13807746883263405
1102	14-15	-0.09389385522896276
1102	16-17	-0.031996978798233044
1102	18-19	-0.0424795148615118
1102	20-21	-0.07874890581617677
1102	22-23	-0.07628635310359044
1102	24-25	-0.09437001099368558
1102	26-27	0.030670547786989744
1102	28-29	-0.025562254040551124
1102	30-31	-0.04259294236138089
1102	32-33	0.10438373753920871
1102	34-35	0.05582608200142403
1102	36-37	-0.02942034279715955
1102	38-39	-0.08198880015041254
1102	40-41	-0.159715044000869
1102	42-43	-0.10236229096078375
1102	44-45	-0.10168994961452427
1102	46-47	-0.0640288845457988
1102	48-49	-0.03339486583428908
1102	50-51	-0.006146327740985669
1102	52-53	-0.13965900164436817
1102	54-55	0.09278610790792641
1102	56-57	-0.07778413059126876
1102	58-59	-0.04782335319254827
1102	60-61	-0.017007462783297456
1102	62-63	-0.10374710367918993
1102	64-65	-0.027952753386209395
1102	66-67	-0.02690591395242592
1102	68-69	1.4370582639600116E-4
1102	70-71	-0.08961117487026371
1102	72-73	-0.09873290379992028
1102	74-75	-0.08675323458099626
1102	76-77	-0.42007001620648765
1102	78-79	-0.05078110662338986
1102	80-81	-0.06776030071335981
1102	82-83	-0.14187700254874613
1102	84-85	-0.09064791591319477
1102	86-87	-0.07002577368766083
1102	88-89	-0.12012516479560276
1102	90-91	-0.14195101249426756
1102	92-93	-0.23024785167681472
1102	94-95	-0.16995598834565584
1102	96-97	-0.159941461604177
1102	98-99	-0.10896243300764752
1102	100-101	0.02807022248193647
1103	1	-0.6114742620742852
1103	2	-0.4752067307944472
1103	3	-1.0979576154939537
1103	4	-0.9090770019264625
1103	5	-0.9251284591990654
1103	6	-0.9656686673888686
1103	7	-0.9465751101145088
1103	8	-0.7999810612932095
1103	9	-0.3468044556861756
1103	10-11	-0.1993030575993302
1103	12-13	-0.1214941056130101
1103	14-15	-0.16603737787601602
