##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	7_2E_fox_paired_R1.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	4882703
Total Bases	490.2 Mbp
Sequences flagged as poor quality	0
Sequence length	35-101
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.784609057728886	32.0	32.0	32.0	32.0	32.0
2	31.347760861145968	32.0	32.0	32.0	32.0	32.0
3	35.059068921456	37.0	32.0	37.0	32.0	37.0
4	36.03786386351986	37.0	37.0	37.0	32.0	37.0
5	36.17410172193558	37.0	37.0	37.0	37.0	37.0
6	39.73263968748458	41.0	41.0	41.0	37.0	41.0
7	40.111789310142356	41.0	41.0	41.0	37.0	41.0
8	39.83442429326543	41.0	41.0	41.0	37.0	41.0
9	40.14860539336511	41.0	41.0	41.0	37.0	41.0
10-11	40.245772884404396	41.0	41.0	41.0	39.0	41.0
12-13	40.25089811934086	41.0	41.0	41.0	41.0	41.0
14-15	40.247168525302484	41.0	41.0	41.0	41.0	41.0
16-17	40.199137444976685	41.0	41.0	41.0	41.0	41.0
18-19	40.190939833940334	41.0	41.0	41.0	39.0	41.0
20-21	40.17414360447482	41.0	41.0	41.0	37.0	41.0
22-23	40.18754724585952	41.0	41.0	41.0	39.0	41.0
24-25	40.17937492819039	41.0	41.0	41.0	39.0	41.0
26-27	40.13078421931459	41.0	41.0	41.0	37.0	41.0
28-29	40.102712165781945	41.0	41.0	41.0	37.0	41.0
30-31	40.07682414842762	41.0	41.0	41.0	37.0	41.0
32-33	40.080224211876086	41.0	41.0	41.0	37.0	41.0
34-35	40.12397180414209	41.0	41.0	41.0	37.0	41.0
36-37	40.12494083572321	41.0	41.0	41.0	37.0	41.0
38-39	40.1062775401488	41.0	41.0	41.0	37.0	41.0
40-41	40.10759274163814	41.0	41.0	41.0	37.0	41.0
42-43	40.09232402028445	41.0	41.0	41.0	37.0	41.0
44-45	40.04905415474571	41.0	41.0	41.0	37.0	41.0
46-47	40.05403123915014	41.0	41.0	41.0	37.0	41.0
48-49	40.05789983984282	41.0	41.0	41.0	37.0	41.0
50-51	40.05285177029431	41.0	41.0	41.0	37.0	41.0
52-53	40.0109081485912	41.0	41.0	41.0	37.0	41.0
54-55	40.01401441052431	41.0	41.0	41.0	37.0	41.0
56-57	39.99519210230976	41.0	41.0	41.0	37.0	41.0
58-59	39.98883830820124	41.0	41.0	41.0	37.0	41.0
60-61	39.9720919874066	41.0	41.0	41.0	37.0	41.0
62-63	39.939754439291136	41.0	41.0	41.0	37.0	41.0
64-65	39.93348291205964	41.0	41.0	41.0	37.0	41.0
66-67	39.91769904971213	41.0	41.0	41.0	37.0	41.0
68-69	39.9036111748598	41.0	41.0	41.0	37.0	41.0
70-71	39.82372327747315	41.0	41.0	41.0	37.0	41.0
72-73	39.83863408419664	41.0	41.0	41.0	37.0	41.0
74-75	39.81438183573391	41.0	41.0	41.0	37.0	41.0
76-77	39.46571296579712	41.0	41.0	41.0	37.0	41.0
78-79	39.569318270670664	41.0	41.0	41.0	37.0	41.0
80-81	39.7133632366663	41.0	41.0	41.0	37.0	41.0
82-83	39.76571687522479	41.0	41.0	41.0	37.0	41.0
84-85	39.74141153883278	41.0	41.0	41.0	37.0	41.0
86-87	39.716534896493954	41.0	41.0	41.0	37.0	41.0
88-89	39.58754260040993	41.0	41.0	41.0	37.0	41.0
90-91	39.61346199555955	41.0	41.0	41.0	37.0	41.0
92-93	39.565558453829254	41.0	41.0	41.0	37.0	41.0
94-95	39.49723256832263	41.0	41.0	41.0	37.0	41.0
96-97	39.503008834845986	41.0	41.0	41.0	37.0	41.0
98-99	39.32527466508558	41.0	41.0	41.0	37.0	41.0
100-101	39.27044791025473	41.0	39.0	41.0	34.5	41.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.014682477598398691
1101	2	-0.11313182554748025
1101	3	-0.43199577768845643
1101	4	-0.1884343971956639
1101	5	0.03466602497104532
1101	6	-0.06517359113215093
1101	7	0.04517966087903602
1101	8	-0.06272860775884226
1101	9	0.03536041983703342
1101	10-11	0.054226111279071176
1101	12-13	0.06817874440053373
1101	14-15	0.04551658089638266
1101	16-17	0.08140731496054343
1101	18-19	0.0405039662620581
1101	20-21	0.06358195085486074
1101	22-23	0.07762568692508154
1101	24-25	0.024076950354732674
1101	26-27	0.07998578030699122
1101	28-29	0.06467312164532046
1101	30-31	0.07120282636541475
1101	32-33	0.0821825589719154
1101	34-35	0.017340112156773557
1101	36-37	0.026020864491336226
1101	38-39	0.03768015677196246
1101	40-41	0.023993255798295365
1101	42-43	0.013278235607380395
1101	44-45	0.08229389581498481
1101	46-47	0.04189755913223081
1101	48-49	0.04121464446878065
1101	50-51	0.05343952728900092
1101	52-53	0.13202919048689665
1101	54-55	0.07994468739379812
1101	56-57	0.07196759222339466
1101	58-59	0.020836247503268623
1101	60-61	0.07876643866298849
1101	62-63	0.10461144443481629
1101	64-65	0.07474888762185117
1101	66-67	0.0737730307202753
1101	68-69	0.10173347104936425
1101	70-71	0.1560440111036101
1101	72-73	0.16631625192618316
1101	74-75	0.10764244031909698
1101	76-77	0.12659400163244072
1101	78-79	0.2666223072620184
1101	80-81	0.2020048586620078
1101	82-83	0.1278184048177735
1101	84-85	0.17933072018947627
1101	86-87	0.2129143649054086
1101	88-89	0.2657025257770229
1101	90-91	0.3057684336486801
1101	92-93	0.32087976088812553
1101	94-95	0.3319224509622529
1101	96-97	0.2944723182020468
1101	98-99	0.40278311334289185
1101	100-101	0.17113316758754848
1102	1	-0.03575214087831213
1102	2	-0.06363116701488636
1102	3	-0.36568950540739564
1102	4	-0.07582929031406849
1102	5	0.13850680754517697
1102	6	0.10981585359195378
1102	7	0.040436366537107915
1102	8	-0.01107260838097801
1102	9	0.032142117924607305
1102	10-11	0.10024731555046174
1102	12-13	0.06848659019738079
1102	14-15	0.04652433810264256
1102	16-17	0.08825863505428089
1102	18-19	0.10166403043897532
1102	20-21	0.09598803560390223
1102	22-23	0.07291364996355298
1102	24-25	0.10519815276469302
1102	26-27	0.1296362553762762
1102	28-29	0.08705880819564271
1102	30-31	0.08890846004681663
1102	32-33	0.10266193056303052
1102	34-35	-0.016638866738333036
1102	36-37	0.00328856116419729
1102	38-39	0.061944775629690696
1102	40-41	0.08754565267392422
1102	42-43	0.1032342863086626
1102	44-45	0.08004409603037743
1102	46-47	0.09628269380316823
1102	48-49	0.10265935890257794
1102	50-51	0.11997558548348763
1102	52-53	0.13116412609965522
1102	54-55	0.09700478731606665
1102	56-57	0.1291873634238172
1102	58-59	0.11802534007678389
1102	60-61	0.08563914279595508
1102	62-63	0.12484462245035388
1102	64-65	0.09707682249210592
1102	66-67	0.0924045942253926
1102	68-69	0.037922018623334
1102	70-71	0.05362763094122869
1102	72-73	0.12881957664993848
1102	74-75	0.13683990858051942
1102	76-77	0.17911427779326772
1102	78-79	0.18487874833321172
1102	80-81	0.15755449524805698
1102	82-83	0.18331714738435778
1102	84-85	0.1977637877968874
1102	86-87	0.09878538978470885
1102	88-89	0.2414044193567193
1102	90-91	0.25349070829050646
1102	92-93	0.27441883437445114
1102	94-95	0.3096160387220621
1102	96-97	0.24175452474254655
1102	98-99	0.4600744800325387
1102	100-101	0.2112854633150434
1103	1	-0.044658689062078594
1103	2	-0.09958178476878743
1103	3	-0.36220382893419156
1103	4	-0.04288501106804432
1103	5	0.08447636198742714
1103	6	-0.012687952724576235
1103	7	0.07513692062259736
1103	8	-0.10312496322538323
1103	9	-0.025547247066413092
1103	10-11	0.04516773355263837
1103	12-13	-0.004494656198126279
1103	14-15	0.08293347654983307
1103	16-17	0.0545608246311744
1103	18-19	0.09092383204875176
1103	20-21	0.16285389742976264
1103	22-23	0.09363597361665654
1103	24-25	0.11771638950606444
1103	26-27	0.09176423044831239
1103	28-29	0.10545040844260001
1103	30-31	0.10316591227874738
1103	32-33	0.09110766869429199
1103	34-35	0.003491840857506645
1103	36-37	0.09228355212312067
1103	38-39	0.08905499127240546
1103	40-41	0.09493885674444158
1103	42-43	0.09424742293818156
1103	44-45	0.1433349891562159
1103	46-47	0.0690715489119853
1103	48-49	0.08612281069428462
1103	50-51	0.11135638874401366
1103	52-53	0.09797804841196722
1103	54-55	0.12743632124705329
1103	56-57	0.08290168328390735
1103	58-59	0.02871334184869312
1103	60-61	0.08777555594424769
1103	62-63	0.10351098630143696
1103	64-65	0.13952329094671256
1103	66-67	0.11100293874421396
1103	68-69	0.11383045839836115
1103	70-71	0.18844403523744546
1103	72-73	0.1675583987252267
1103	74-75	0.11225347414017506
1103	76-77	0.0732598111236129
1103	78-79	0.21417716304353718
1103	80-81	0.15598451212681397
1103	82-83	0.11664990783824436
1103	84-85	0.12915513902976983
1103	86-87	0.10632899871074386
1103	88-89	0.2694200663422279
1103	90-91	0.3053160276135358
1103	92-93	0.31736740685382614
1103	94-95	0.2889528059250779
1103	96-97	0.2489181896023993
1103	98-99	0.49799325731583366
1103	100-101	0.27939146636011714
1104	1	-0.017532819899486185
1104	2	-0.01832487559836693
1104	3	-0.12282673570745573
1104	4	-0.06758775374332515
1104	5	0.12772300016210636
1104	6	0.07518925915291419
1104	7	0.008434396497484897
1104	8	-0.0021363577931410305
1104	9	-0.032557771744151864
1104	10-11	0.02234847734308687
1104	12-13	0.06495763423565393
1104	14-15	0.010445731200860564
1104	16-17	0.04432377529121112
1104	18-19	0.07008634522049562
1104	20-21	0.08136997843299554
1104	22-23	0.054631073049435486
1104	24-25	0.06717623220598767
1104	26-27	0.0201042923536221
1104	28-29	0.08269645864404396
1104	30-31	0.08658007756259423
1104	32-33	0.07773063107499922
1104	34-35	0.08906150566319582
1104	36-37	0.10085543926952312
1104	38-39	0.08398133586371159
1104	40-41	0.05964453710018347
1104	42-43	0.11349671308119724
1104	44-45	0.17148778184281355
1104	46-47	0.12952506445557077
1104	48-49	0.09646910595107983
1104	50-51	0.04162002069237758
1104	52-53	0.11056397432600562
1104	54-55	0.16035221036920433
1104	56-57	0.10932913885604023
1104	58-59	0.07392307773123719
1104	60-61	0.05707578193936058
1104	62-63	0.08812871790851773
1104	64-65	0.09060477340846518
1104	66-67	0.11776974987174782
1104	68-69	0.0786736857965451
1104	70-71	0.17269234375429932
1104	72-73	0.10183376223958618
1104	74-75	0.16494382444102484
1104	76-77	0.11358743100744562
1104	78-79	0.1484754276367326
1104	80-81	0.19343858242104517
1104	82-83	0.16986998301880618
1104	84-85	0.17755251892067037
1104	86-87	0.1956246752860622
1104	88-89	0.2514284550009691
1104	90-91	0.29097576091605504
1104	92-93	0.28853655329458405
1104	94-95	0.3234921776182631
1104	96-97	0.22076262475646757
1104	98-99	0.44668390448836703
1104	100-101	0.24439028388123774
1105	1	0.00391345289083489
1105	2	-0.05600331321439711
1105	3	-0.09330704870635742
1105	4	0.0016852799207569547
1105	5	0.06677665271585198
1105	6	0.03781980372475857
1105	7	0.05838657054167129
1105	8	0.11481450056763975
1105	9	0.05888716249904746
1105	10-11	-0.03124909077334337
1105	12-13	0.03977695452636709
1105	14-15	0.016674698326596626
1105	16-17	0.048901241478404245
1105	18-19	0.08758508476423543
1105	20-21	0.08308744065499951
1105	22-23	0.07695649864999154
1105	24-25	0.018755363580147844
1105	26-27	0.06688069090188975
1105	28-29	0.033066442943216146
1105	30-31	-0.0026442048629036208
1105	32-33	0.05667859637066641
1105	34-35	0.050991969696795536
1105	36-37	0.08445401282325093
1105	38-39	0.06982171631380396
1105	40-41	0.015777000851642242
1105	42-43	0.0628992388634515
1105	44-45	0.1343976325350269
1105	46-47	0.03699693049298247
1105	48-49	0.035238803866455726
1105	50-51	0.0357082068216954
1105	52-53	0.043905570543387284
1105	54-55	0.06333478712443963
